Date,Open,High,Low,Close,Adj Close,Volume,percent_chnage,Jump,Big_Jump,Drop,Big_Drop
2023-02-24,3973.239990234375,3978.25,3943.080078125,3970.0400390625,3970.0400390625,3877700000,-0.08053757587611621,0,0,1,0
2023-02-27,3992.360107421875,4018.050048828125,3973.550048828125,3982.239990234375,3982.239990234375,3836950000,-0.2534870832089142,0,0,1,0
2023-02-28,3977.18994140625,3997.5,3968.97998046875,3970.14990234375,3970.14990234375,5043400000,-0.1770103808522383,0,0,1,0
2023-03-01,3963.340087890625,3971.72998046875,3939.050048828125,3951.389892578125,3951.389892578125,4249480000,-0.30151829132736285,0,0,1,0
2023-03-02,3938.679931640625,3990.840087890625,3928.159912109375,3981.35009765625,3981.35009765625,4244900000,1.0833621100522217,0,1,0,0
2023-03-03,3998.02001953125,4048.2900390625,3995.169921875,4045.639892578125,4045.639892578125,4084730000,1.1910864081280392,0,1,0,0
2023-03-06,4055.14990234375,4078.489990234375,4044.610107421875,4048.419921875,4048.419921875,4000870000,-0.1659613240156732,0,0,1,0
2023-03-07,4048.260009765625,4050.0,3980.31005859375,3986.3701171875,3986.3701171875,3922500000,-1.5288023108404047,0,0,0,1
2023-03-08,3987.550048828125,4000.409912109375,3969.760009765625,3992.010009765625,3992.010009765625,3535570000,0.11184714631509163,1,0,0,0
2023-03-09,3998.659912109375,4017.81005859375,3908.699951171875,3918.320068359375,3918.320068359375,4445260000,-2.0091692095819957,0,0,0,1
2023-03-10,3912.77001953125,3934.050048828125,3846.320068359375,3861.590087890625,3861.590087890625,5518190000,-1.308022996116609,0,0,0,1
2023-03-13,3835.1201171875,3905.050048828125,3808.860107421875,3855.760009765625,3855.760009765625,6558020000,0.5381811246439216,1,0,0,0
2023-03-14,3894.010009765625,3937.2900390625,3873.6298828125,3919.2900390625,3919.2900390625,5665870000,0.6492029869845206,1,0,0,0
2023-03-15,3876.739990234375,3894.260009765625,3838.239990234375,3891.929931640625,3891.929931640625,6594010000,0.39182254792722304,1,0,0,0
2023-03-16,3878.929931640625,3964.4599609375,3864.110107421875,3960.280029296875,3960.280029296875,5695790000,2.0972303983290086,0,1,0,0
2023-03-17,3958.68994140625,3958.909912109375,3901.27001953125,3916.639892578125,3916.639892578125,9354280000,-1.0622213270177872,0,0,0,1
2023-03-20,3917.469970703125,3956.6201171875,3916.889892578125,3951.570068359375,3951.570068359375,5347140000,0.870462260368754,1,0,0,0
2023-03-21,3975.889892578125,4009.080078125,3971.18994140625,4002.8701171875,4002.8701171875,4920240000,0.6785958700652017,1,0,0,0
2023-03-22,4002.0400390625,4039.489990234375,3936.169921875,3936.969970703125,3936.969970703125,4533010000,-1.6259224726451804,0,0,0,1
2023-03-23,3959.2099609375,4007.659912109375,3919.050048828125,3948.719970703125,3948.719970703125,4991600000,-0.2649516024123888,0,0,1,0
